Country,2020,2019,2018,2017,2016,2015,2014,2013
Norway,74.7,55.9,49.1,39.2,29.1,22.4,13.8,6.1
Iceland,45.0,22.6,19,14.05,4.6,2.93,2.71,0.94
Sweden,32.2,11.4,8.2,5.2,3.5,2.62,1.53,0.71
Netherlands,24.6,14.9,6.2,2.2,6.7,9.9,3.87,5.55
Finland,18.1,6.9,4.7,2.57,1.2,,,
Denmark,16.4,4.2,2,0.4,0.6,2.29,0.88,0.29
Switzerland,14.3,5.5,3.2,2.55,1.8,1.98,0.75,0.44
Germany,13.5,3.0,1.9,1.58,1.1,0.73,0.43,0.25
Portugal,13.5,5.7,3.6,1.9,,,,
France,11.2,2.8,2.11,1.98,1.4,1.19,0.70,0.83
UK,10.7,2.9,2.53,1.86,1.37,1.07,0.59,0.16
Belgium,10.7,3.2,2.5,2.7,1.8,,,
Austria,9.5,3.5,2.6,2.06,1.6,0.90,,
Ireland,7.4,4.1,1.57,0.72,0.48,0.46,0.27,
China,5.4,4.9,4.2,2.1,1.31,0.84,0.23,0.08
Spain,4.8,1.4,0.9,0.6,0.32,,,
Italy,4.3,0.6,0.26,0.1,0.08,0.09,0.08,0.07
Canada,3.5,3.0,2.2,0.92,0.58,0.35,0.28,0.18
New Zealand,,2.8,0.96,0.72,0.50,0.23,0.21,
United States,2.2,1.9,2.1,1.1,0.90,0.66,0.72,0.60
Australia,0.75,0.6,0.3,0.19,0.12,0.15,0.12,0.026
Japan,0.6,0.9,1.0,1.1,0.59,0.68,1.06,0.91
